cadenas	cadenas	n.	m.			false
cadence	cadence	n.	f.			false
cadre	cadre	n.	m.			false
café	café	n.	m.			false
cafétéria	cafétéria	n.	f.			false
cage	cage	n.	f.			false
cahier	cahier	n.	m.			false
caillou	caillou	n.	m.			false
caisse	caisse	n.	f.			false
calcul	calcul	n.	m.			false
calembour	calembour	n.	m.			false
calendrier	calendrier	n.	m.			false
calepin	calepin	n.	m.			false
calligraphie	calligraphie	n.	f.			false
calme	calme	adj.				false
calme	calme	n.	m.			false
calmer	calmer	v.				false
calorie	calorie	n.	f.			false
calvitie	calvitie	n.	f.			false
cambriolage	cambriolage	n.	m.			false
cambrioleur	cambrioleur	n.	m.			false
caméra	caméra	n.	f.			false
camion	camion	n.	m.			false
camp	camp	n.	m.			false
campagne	campagne	n.	f.			false
camping	camping	n.	m.			false
canal	canal	n.	m.			false
canard	canard	n.	m.			false
candeur	candeur	n.	f.			false
candidat	candidat	n.	m.			false
candidature	candidature	n.	f.			false
cane	cane	n.	f.			false
canine	canine	n.	f.			false
canne	canne	n.	f.			false
canoé	canoé	n.	m.			true
canoë	canoë	n.	m.			false
canon	canon	n.	m.			false
canot	canot	n.	m.			false
canotage	canotage	n.	m.			false
caoutchouc	caoutchouc	n.	m.			false
cap	cap	n.	m.			false
capable	capable	adj.				false
capacité	capacité	n.	f.			false
cape	cape	n.	f.			false
capitaine	capitaine	n.	m.			false
capitale	capitale	n.	f.			false
capitalisme	capitalisme	n.	m.			false
capitulation	capitulation	n.	f.			false
caprice	caprice	n.	m.			false
car	car	conj.				false
carabine	carabine	n.	f.			false
caractère	caractère	n.	m.			false
caractéristique	caractéristique	n.	f.			false
carambolage	carambolage	n.	m.			false
carburant	carburant	n.	m.			false
carence	carence	n.	f.			false
caresse	caresse	n.	f.			false
cargaison	cargaison	n.	f.			false
caricature	caricature	n.	f.			false
carie	carie	n.	f.			false
carillon	carillon	n.	m.			false
carnage	carnage	n.	m.			false
carnaval	carnaval	n.	m.			false
carnet	carnet	n.	m.			false
carotte	carotte	n.	f.			false
carré	carré	n.	m.			false
carreau	carreau	n.	m.			false
carrefour	carrefour	n.	m.			false
carrelage	carrelage	n.	m.			false
carrière	carrière	n.	f.			false
carrosserie	carrosserie	n.	f.			false
carrure	carrure	n.	f.			false
carte	carte	n.	f.			false
carton	carton	n.	m.			false
cas	cas	n.	m.			false
cascade	cascade	n.	f.			false
casier	casier	n.	m.			false
casque	casque	n.	m.			false
casquette	casquette	n.	f.			false
casse-tête	casse-tête	n.	m.			false
casser	casser	v.				false
cassure	cassure	n.	f.			false
cataclysme	cataclysme	n.	m.			false
catalogue	catalogue	n.	m.			false
catastrophe	catastrophe	n.	f.			false
catégorie	catégorie	n.	f.			false
cathédrale	cathédrale	n.	f.			false
cauchemar	cauchemar	n.	m.			false
cause	cause	n.	f.			false
causerie	causerie	n.	f.			false
